frame,bass,low_mid,mid,high_mid,high,beat,energy
1,0.001774,0.002499,1.5e-05,8e-06,5e-06,0.0,0.001946
2,0.001819,0.002937,8e-06,1e-06,1e-06,0.0,0.002024
3,0.003043,0.003866,1.9e-05,2e-06,0.0,0.0,0.003308
4,0.004555,0.006,7.5e-05,3e-06,0.0,0.0,0.004968
5,0.005914,0.009169,0.000116,3e-06,0.0,0.0,0.006553
6,0.008845,0.012658,0.000214,8e-06,1e-06,1.0,0.009723
7,0.013031,0.017347,0.000154,7e-06,1e-06,1.0,0.014225
8,0.016404,0.020846,0.000189,1.4e-05,2e-06,0.0,0.017833
9,0.016752,0.022776,0.000566,1.7e-05,2e-06,0.0,0.018328
10,0.020706,0.028858,0.00089,1.6e-05,2e-06,0.0,0.022708
11,0.022996,0.035281,0.000628,3.2e-05,6e-06,0.0,0.025456
12,0.025574,0.040035,0.000466,3.8e-05,3e-06,0.0,0.028366
13,0.028757,0.042596,0.000313,6e-05,5e-06,0.0,0.031713
14,0.031088,0.046158,0.000507,2.2e-05,3e-06,0.0,0.034294
15,0.036083,0.053696,0.000213,4.5e-05,1.3e-05,0.0,0.039808
16,0.034843,0.056547,0.000655,6.9e-05,1.9e-05,0.0,0.038796
17,0.036047,0.064923,0.000719,9.1e-05,1.1e-05,0.0,0.040615
18,0.038857,0.071099,0.001085,0.000109,1.8e-05,0.0,0.043868
19,0.039982,0.070079,0.001116,4.7e-05,1.2e-05,0.0,0.044909
20,0.040416,0.07269,0.000893,8e-05,9e-06,0.0,0.045531
21,0.043806,0.073702,0.000707,8e-05,1.5e-05,0.0,0.048968
22,0.04476,0.076847,0.003223,8.2e-05,1.4e-05,0.0,0.050182
23,0.051069,0.090298,0.006146,0.000117,1.2e-05,0.0,0.057485
24,0.049746,0.074937,0.002487,0.000128,2.3e-05,0.0,0.054979
25,0.052023,0.075318,0.003156,0.000177,2.2e-05,0.0,0.057276
26,0.058643,0.084259,0.003566,0.000237,1.6e-05,0.0,0.064517
27,0.052026,0.076758,0.001587,0.000247,2.4e-05,0.0,0.057365
28,0.051686,0.072169,0.001225,0.000268,1.4e-05,0.0,0.056681
29,0.049849,0.070719,0.001232,0.000306,1.9e-05,0.0,0.054751
30,0.060861,0.081843,0.002397,0.000391,6.1e-05,0.0,0.066523
31,0.065634,0.097364,0.005445,0.000596,0.00019,0.0,0.072456
32,0.064332,0.107279,0.007369,0.00108,6.6e-05,0.0,0.071929
33,0.072267,0.096956,0.00609,0.000921,6.7e-05,0.0,0.079017
34,0.057329,0.101478,0.003849,0.001614,6.6e-05,0.0,0.064501
35,0.055896,0.103199,0.003557,0.000784,4.8e-05,0.0,0.063201
36,0.062407,0.095939,0.005492,0.000802,4.6e-05,0.0,0.069148
37,0.06464,0.080015,0.005145,0.000616,8.5e-05,0.0,0.070175
